iter	Passed	Remaining
787	2764	743
788	2765	739
789	2767	735
790	2769	731
791	2772	728
792	2774	724
793	2777	720
794	2781	717
795	2784	713
796	2786	709
797	2790	706
798	2792	702
799	2794	698
800	2796	694
801	2798	690
802	2800	686
803	2802	683
804	2806	679
805	2808	675
806	2810	672
807	2812	668
808	2813	664
809	2815	660
810	2817	656
811	2822	653
812	2824	649
813	2827	645
814	2830	642
815	2832	638
816	2836	635
817	2838	631
818	2840	627
819	2842	623
820	2844	620
821	2846	616
822	2848	612
823	2852	609
824	2854	605
825	2856	601
826	2858	597
827	2860	594
828	2862	590
829	2864	586
830	2866	582
831	2868	579
832	2870	575
833	2872	571
834	2874	567
835	2876	564
836	2880	560
837	2882	557
838	2884	553
839	2886	549
840	2888	546
841	2890	542
842	2892	538
843	2896	535
844	2898	531
845	2901	528
846	2903	524
847	2905	520
848	2907	517
849	2913	514
850	2917	510
851	2919	507
852	2921	503
853	2923	499
854	2927	496
855	2928	492
856	2930	489
857	2932	485
858	2934	481
859	2936	478
860	2938	474
861	2942	471
862	2944	467
863	2946	463
864	2948	460
865	2950	456
866	2952	452
867	2954	449
868	2958	445
869	2959	442
870	2961	438
871	2963	435
872	2966	431
873	2968	427
874	2970	424
875	2973	420
876	2975	417
877	2977	413
878	2979	410
879	2981	406
880	2983	402
881	2985	399
882	2988	395
883	2990	392
884	2992	388
885	2994	385
886	2996	381
887	2998	378
888	3000	374
889	3003	371
890	3006	367
891	3008	364
892	3010	360
893	3012	357
894	3014	353
895	3018	350
896	3020	346
897	3022	343
898	3024	339
899	3026	336
900	3028	332
901	3030	329
902	3033	325
903	3035	322
904	3037	318
905	3039	315
906	3041	311
907	3043	308
908	3046	304
909	3048	301
910	3050	298
911	3052	294
912	3054	291
913	3056	287
914	3058	284
915	3060	280
916	3063	277
917	3066	273
918	3068	270
919	3070	266
920	3072	263
921	3074	260
922	3077	256
923	3080	253
924	3082	249
925	3084	246
926	3086	243
927	3087	239
928	3089	236
929	3093	232
930	3095	229
931	3097	226
932	3099	222
933	3101	219
934	3103	215
935	3106	212
936	3109	209
937	3113	205
938	3117	202
